97.00	0.9020	0.0073	0.0038	0.0038	0.0831
98.00	0.9013	0.0072	0.0038	0.0038	0.0839
99.00	0.9006	0.0072	0.0038	0.0038	0.0846
100.00	0.8999	0.0072	0.0038	0.0038	0.0854
101.00	0.8993	0.0071	0.0037	0.0037	0.0861
102.00	0.8986	0.0071	0.0037	0.0037	0.0869
103.00	0.8979	0.0070	0.0037	0.0037	0.0876
104.00	0.8973	0.0070	0.0037	0.0037	0.0884
105.00	0.8966	0.0070	0.0037	0.0037	0.0891
106.00	0.8960	0.0069	0.0037	0.0037	0.0898
107.00	0.8953	0.0069	0.0036	0.0036	0.0905
108.00	0.8946	0.0069	0.0036	0.0036	0.0913
109.00	0.8940	0.0068	0.0036	0.0036	0.0920
110.00	0.8934	0.0068	0.0036	0.0036	0.0927
111.00	0.8927	0.0067	0.0036	0.0036	0.0934
112.00	0.8921	0.0067	0.0035	0.0035	0.0941
113.00	0.8915	0.0067	0.0035	0.0035	0.0948
114.00	0.8908	0.0066	0.0035	0.0035	0.0955
115.00	0.8902	0.0066	0.0035	0.0035	0.0962
116.00	0.8896	0.0065	0.0035	0.0035	0.0969
117.00	0.8890	0.0065	0.0034	0.0034	0.0976
118.00	0.8884	0.0065	0.0034	0.0034	0.0983
119.00	0.8878	0.0064	0.0034	0.0034	0.0990
120.00	0.8872	0.0064	0.0034	0.0034	0.0997
121.00	0.8866	0.0064	0.0034	0.0034	0.1003
122.00	0.8860	0.0063	0.0033	0.0033	0.1010
123.00	0.8854	0.0063	0.0033	0.0033	0.1017
124.00	0.8848	0.0062	0.0033	0.0033	0.1024
125.00	0.8842	0.0062	0.0033	0.0033	0.1030
126.00	0.8836	0.0062	0.0033	0.0033	0.1037
127.00	0.8831	0.0061	0.0033	0.0033	0.1043
128.00	0.8825	0.0061	0.0032	0.0032	0.1050
129.00	0.8819	0.0060	0.0032	0.0032	0.1056
130.00	0.8813	0.0060	0.0032	0.0032	0.1063
131.00	0.8808	0.0060	0.0032	0.0032	0.1069
132.00	0.8802	0.0059	0.0032	0.0032	0.1075
133.00	0.8797	0.0059	0.0031	0.0031	0.1082
134.00	0.8791	0.0059	0.0031	0.0031	0.1088
135.00	0.8786	0.0058	0.0031	0.0031	0.1094
136.00	0.8780	0.0058	0.0031	0.0031	0.1100
137.00	0.8775	0.0057	0.0031	0.0031	0.1106
138.00	0.8770	0.0057	0.0030	0.0030	0.1112
139.00	0.8764	0.0057	0.0030	0.0030	0.1119
140.00	0.8759	0.0056	0.0030	0.0030	0.1125
141.00	0.8754	0.0056	0.0030	0.0030	0.1131
142.00	0.8749	0.0056	0.0030	0.0030	0.1136
143.00	0.8743	0.0055	0.0029	0.0029	0.1142
144.00	0.8738	0.0055	0.0029	0.0029	0.1148
145.00	0.8733	0.0055	0.0029	0.0029	0.1154
146.00	0.8728	0.0054	0.0029	0.0029	0.1160
147.00	0.8723	0.0054	0.0029	0.0029	0.1166
148.00	0.8718	0.0053	0.0029	0.0029	0.1171
149.00	0.8713	0.0053	0.0028	0.0028	0.1177
150.00	0.8708	0.0053	0.0028	0.0028	0.1183
