t	S	I	R
273.00	0.1992	0.0000	0.8008
274.00	0.1992	0.0000	0.8008
275.00	0.1992	0.0000	0.8008
276.00	0.1992	0.0000	0.8008
277.00	0.1992	0.0000	0.8008
278.00	0.1992	0.0000	0.8008
279.00	0.1992	0.0000	0.8008
280.00	0.1992	0.0000	0.8008
281.00	0.1992	0.0000	0.8008
282.00	0.1992	0.0000	0.8008
283.00	0.1992	0.0000	0.8008
284.00	0.1992	0.0000	0.8008
285.00	0.1992	0.0000	0.8008
286.00	0.1992	0.0000	0.8008
287.00	0.1992	0.0000	0.8008
288.00	0.1992	0.0000	0.8008
289.00	0.1992	0.0000	0.8008
290.00	0.1992	0.0000	0.8008
291.00	0.1992	0.0000	0.8008
292.00	0.1992	0.0000	0.8008
293.00	0.1992	0.0000	0.8008
294.00	0.1992	0.0000	0.8008
295.00	0.1992	0.0000	0.8008
296.00	0.1992	0.0000	0.8008
297.00	0.1992	0.0000	0.8008
298.00	0.1992	0.0000	0.8008
299.00	0.1992	0.0000	0.8008
300.00	0.1992	0.0000	0.8008
