t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9879	0.0110	0.0010
2.00	0.9857	0.0121	0.0022
3.00	0.9832	0.0134	0.0035
4.00	0.9804	0.0147	0.0049
5.00	0.9774	0.0162	0.0064
6.00	0.9741	0.0178	0.0081
7.00	0.9705	0.0196	0.0099
8.00	0.9665	0.0215	0.0120
9.00	0.9622	0.0236	0.0142
10.00	0.9575	0.0258	0.0167
11.00	0.9524	0.0283	0.0194
12.00	0.9468	0.0309	0.0223
13.00	0.9407	0.0338	0.0255
14.00	0.9341	0.0368	0.0290
15.00	0.9270	0.0401	0.0329
16.00	0.9193	0.0437	0.0370
17.00	0.9110	0.0474	0.0416
18.00	0.9020	0.0515	0.0465
19.00	0.8925	0.0557	0.0518
20.00	0.8822	0.0602	0.0576
21.00	0.8713	0.0649	0.0638
22.00	0.8597	0.0698	0.0705
23.00	0.8474	0.0749	0.0777
24.00	0.8344	0.0802	0.0855
25.00	0.8207	0.0856	0.0937
26.00	0.8064	0.0911	0.1025
27.00	0.7914	0.0967	0.1119
28.00	0.7758	0.1024	0.1218
29.00	0.7597	0.1080	0.1323
30.00	0.7431	0.1136	0.1434
31.00	0.7260	0.1190	0.1550
32.00	0.7086	0.1243	0.1671
33.00	0.6908	0.1294	0.1798
34.00	0.6728	0.1342	0.1929
35.00	0.6547	0.1387	0.2066
36.00	0.6366	0.1428	0.2206
37.00	0.6184	0.1465	0.2351
38.00	0.6003	0.1498	0.2499
39.00	0.5824	0.1526	0.2650
40.00	0.5648	0.1549	0.2804
41.00	0.5474	0.1566	0.2959
42.00	0.5305	0.1579	0.3117
43.00	0.5139	0.1586	0.3275
44.00	0.4978	0.1588	0.3434
45.00	0.4822	0.1585	0.3592
46.00	0.4672	0.1578	0.3751
47.00	0.4527	0.1565	0.3908
48.00	0.4388	0.1549	0.4064
49.00	0.4255	0.1528	0.4218
50.00	0.4127	0.1503	0.4369
51.00	0.4006	0.1476	0.4518
52.00	0.3890	0.1445	0.4665
53.00	0.3780	0.1412	0.4808
54.00	0.3676	0.1377	0.4947
55.00	0.3577	0.1339	0.5083
56.00	0.3484	0.1301	0.5215
57.00	0.3395	0.1261	0.5344
58.00	0.3312	0.1220	0.5468
59.00	0.3233	0.1179	0.5588
60.00	0.3159	0.1137	0.5704
61.00	0.3089	0.1095	0.5816
62.00	0.3023	0.1053	0.5924
63.00	0.2961	0.1012	0.6027
64.00	0.2903	0.0971	0.6126
65.00	0.2848	0.0930	0.6222
66.00	0.2797	0.0891	0.6313
67.00	0.2748	0.0852	0.6400
68.00	0.2703	0.0814	0.6484
69.00	0.2660	0.0777	0.6563
70.00	0.2620	0.0741	0.6639
71.00	0.2582	0.0706	0.6712
72.00	0.2547	0.0673	0.6781
73.00	0.2513	0.0640	0.6847
74.00	0.2482	0.0609	0.6909
75.00	0.2453	0.0579	0.6969
76.00	0.2425	0.0550	0.7025
77.00	0.2399	0.0522	0.7079
78.00	0.2375	0.0495	0.7130
79.00	0.2352	0.0470	0.7178
80.00	0.2330	0.0445	0.7224
81.00	0.2310	0.0422	0.7268
82.00	0.2291	0.0400	0.7309
83.00	0.2273	0.0379	0.7348
84.00	0.2257	0.0358	0.7385
85.00	0.2241	0.0339	0.7420
86.00	0.2226	0.0321	0.7453
87.00	0.2212	0.0304	0.7484
88.00	0.2199	0.0287	0.7514
89.00	0.2187	0.0271	0.7542
90.00	0.2175	0.0256	0.7568
91.00	0.2164	0.0242	0.7593
92.00	0.2154	0.0229	0.7617
93.00	0.2145	0.0216	0.7639
94.00	0.2136	0.0204	0.7660
95.00	0.2127	0.0193	0.7680
96.00	0.2119	0.0182	0.7699
97.00	0.2112	0.0172	0.7717
98.00	0.2105	0.0162	0.7733
99.00	0.2098	0.0153	0.7749
100.00	0.2092	0.0144	0.7764
101.00	0.2086	0.0136	0.7778
102.00	0.2080	0.0128	0.7791
103.00	0.2075	0.0121	0.7804
104.00	0.2070	0.0114	0.7816
105.00	0.2066	0.0108	0.7827
106.00	0.2061	0.0101	0.7837
107.00	0.2057	0.0096	0.7847
108.00	0.2054	0.0090	0.7856
109.00	0.2050	0.0085	0.7865
110.00	0.2047	0.0080	0.7873
111.00	0.2043	0.0075	0.7881
112.00	0.2040	0.0071	0.7889
113.00	0.2038	0.0067	0.7895
114.00	0.2035	0.0063	0.7902
115.00	0.2032	0.0059	0.7908
116.00	0.2030	0.0056	0.7914
117.00	0.2028	0.0053	0.7919
118.00	0.2026	0.0050	0.7925
119.00	0.2024	0.0047	0.7929
120.00	0.2022	0.0044	0.7934
121.00	0.2020	0.0042	0.7938
122.00	0.2019	0.0039	0.7942
123.00	0.2017	0.0037	0.7946
124.00	0.2016	0.0035	0.7950
125.00	0.2014	0.0033	0.7953
126.00	0.2013	0.0031	0.7956
127.00	0.2012	0.0029	0.7959
128.00	0.2011	0.0027	0.7962
129.00	0.2009	0.0026	0.7965
130.00	0.2008	0.0024	0.7967
131.00	0.2008	0.0023	0.7970
132.00	0.2007	0.0022	0.7972
133.00	0.2006	0.0020	0.7974
134.00	0.2005	0.0019	0.7976
135.00	0.2004	0.0018	0.7978
136.00	0.2004	0.0017	0.7980
137.00	0.2003	0.0016	0.7981
138.00	0.2002	0.0015	0.7983
139.00	0.2002	0.0014	0.7984
140.00	0.2001	0.0013	0.7986
141.00	0.2001	0.0013	0.7987
142.00	0.2000	0.0012	0.7988
143.00	0.2000	0.0011	0.7989
144.00	0.1999	0.0010	0.7990
145.00	0.1999	0.0010	0.7991
146.00	0.1998	0.0009	0.7992
147.00	0.1998	0.0009	0.7993
148.00	0.1998	0.0008	0.7994
149.00	0.1997	0.0008	0.7995
150.00	0.1997	0.0007	0.7996
151.00	0.1997	0.0007	0.7996
152.00	0.1997	0.0006	0.7997
153.00	0.1996	0.0006	0.7998
154.00	0.1996	0.0006	0.7998
155.00	0.1996	0.0005	0.7999
156.00	0.1996	0.0005	0.7999
157.00	0.1995	0.0005	0.8000
158.00	0.1995	0.0004	0.8000
159.00	0.1995	0.0004	0.8001
160.00	0.1995	0.0004	0.8001
161.00	0.1995	0.0004	0.8001
162.00	0.1995	0.0004	0.8002
163.00	0.1995	0.0003	0.8002
164.00	0.1994	0.0003	0.8002
165.00	0.1994	0.0003	0.8003
166.00	0.1994	0.0003	0.8003
167.00	0.1994	0.0003	0.8003
168.00	0.1994	0.0002	0.8004
169.00	0.1994	0.0002	0.8004
170.00	0.1994	0.0002	0.8004
171.00	0.1994	0.0002	0.8004
172.00	0.1994	0.0002	0.8004
173.00	0.1994	0.0002	0.8005
174.00	0.1993	0.0002	0.8005
175.00	0.1993	0.0002	0.8005
176.00	0.1993	0.0002	0.8005
177.00	0.1993	0.0001	0.8005
178.00	0.1993	0.0001	0.8005
179.00	0.1993	0.0001	0.8006
180.00	0.1993	0.0001	0.8006
181.00	0.1993	0.0001	0.8006
182.00	0.1993	0.0001	0.8006
183.00	0.1993	0.0001	0.8006
184.00	0.1993	0.0001	0.8006
185.00	0.1993	0.0001	0.8006
186.00	0.1993	0.0001	0.8006
187.00	0.1993	0.0001	0.8006
188.00	0.1993	0.0001	0.8006
189.00	0.1993	0.0001	0.8007
190.00	0.1993	0.0001	0.8007
191.00	0.1993	0.0001	0.8007
192.00	0.1993	0.0001	0.8007
193.00	0.1993	0.0001	0.8007
194.00	0.1993	0.0001	0.8007
195.00	0.1993	0.0000	0.8007
196.00	0.1993	0.0000	0.8007
197.00	0.1993	0.0000	0.8007
198.00	0.1993	0.0000	0.8007
199.00	0.1993	0.0000	0.8007
200.00	0.1993	0.0000	0.8007
201.00	0.1993	0.0000	0.8007
202.00	0.1993	0.0000	0.8007
203.00	0.1992	0.0000	0.8007
204.00	0.1992	0.0000	0.8007
205.00	0.1992	0.0000	0.8007
206.00	0.1992	0.0000	0.8007
207.00	0.1992	0.0000	0.8007
208.00	0.1992	0.0000	0.8007
209.00	0.1992	0.0000	0.8007
210.00	0.1992	0.0000	0.8007
211.00	0.1992	0.0000	0.8007
212.00	0.1992	0.0000	0.8007
213.00	0.1992	0.0000	0.8007
214.00	0.1992	0.0000	0.8007
215.00	0.1992	0.0000	0.8007
216.00	0.1992	0.0000	0.8007
217.00	0.1992	0.0000	0.8007
218.00	0.1992	0.0000	0.8008
219.00	0.1992	0.0000	0.8008
220.00	0.1992	0.0000	0.8008
221.00	0.1992	0.0000	0.8008
222.00	0.1992	0.0000	0.8008
223.00	0.1992	0.0000	0.8008
224.00	0.1992	0.0000	0.8008
225.00	0.1992	0.0000	0.8008
226.00	0.1992	0.0000	0.8008
227.00	0.1992	0.0000	0.8008
228.00	0.1992	0.0000	0.8008
229.00	0.1992	0.0000	0.8008
230.00	0.1992	0.0000	0.8008
231.00	0.1992	0.0000	0.8008
232.00	0.1992	0.0000	0.8008
233.00	0.1992	0.0000	0.8008
234.00	0.1992	0.0000	0.8008
235.00	0.1992	0.0000	0.8008
236.00	0.1992	0.0000	0.8008
237.00	0.1992	0.0000	0.8008
238.00	0.1992	0.0000	0.8008
239.00	0.1992	0.0000	0.8008
240.00	0.1992	0.0000	0.8008
241.00	0.1992	0.0000	0.8008
242.00	0.1992	0.0000	0.8008
243.00	0.1992	0.0000	0.8008
244.00	0.1992	0.0000	0.8008
245.00	0.1992	0.0000	0.8008
246.00	0.1992	0.0000	0.8008
247.00	0.1992	0.0000	0.8008
248.00	0.1992	0.0000	0.8008
249.00	0.1992	0.0000	0.8008
250.00	0.1992	0.0000	0.8008
251.00	0.1992	0.0000	0.8008
252.00	0.1992	0.0000	0.8008
253.00	0.1992	0.0000	0.8008
254.00	0.1992	0.0000	0.8008
255.00	0.1992	0.0000	0.8008
256.00	0.1992	0.0000	0.8008
257.00	0.1992	0.0000	0.8008
258.00	0.1992	0.0000	0.8008
259.00	0.1992	0.0000	0.8008
260.00	0.1992	0.0000	0.8008
261.00	0.1992	0.0000	0.8008
262.00	0.1992	0.0000	0.8008
263.00	0.1992	0.0000	0.8008
264.00	0.1992	0.0000	0.8008
265.00	0.1992	0.0000	0.8008
266.00	0.1992	0.0000	0.8008
267.00	0.1992	0.0000	0.8008
268.00	0.1992	0.0000	0.8008
269.00	0.1992	0.0000	0.8008
270.00	0.1992	0.0000	0.8008
271.00	0.1992	0.0000	0.8008
272.00	0.1992	0.0000	0.8008
