t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9885	0.0105	0.0010
2.00	0.9870	0.0110	0.0020
3.00	0.9855	0.0115	0.0030
4.00	0.9839	0.0121	0.0040
5.00	0.9823	0.0127	0.0050
6.00	0.9807	0.0133	0.0060
7.00	0.9791	0.0139	0.0071
8.00	0.9774	0.0145	0.0081
9.00	0.9756	0.0152	0.0092
10.00	0.9739	0.0159	0.0102
11.00	0.9721	0.0166	0.0113
12.00	0.9702	0.0174	0.0124
13.00	0.9683	0.0181	0.0135
14.00	0.9664	0.0190	0.0147
15.00	0.9644	0.0198	0.0159
16.00	0.9623	0.0206	0.0171
17.00	0.9602	0.0215	0.0183
18.00	0.9580	0.0225	0.0195
19.00	0.9558	0.0234	0.0208
20.00	0.9535	0.0244	0.0221
21.00	0.9511	0.0254	0.0235
22.00	0.9487	0.0264	0.0249
23.00	0.9462	0.0275	0.0263
24.00	0.9437	0.0286	0.0277
25.00	0.9411	0.0297	0.0292
26.00	0.9384	0.0308	0.0307
27.00	0.9357	0.0320	0.0323
28.00	0.9329	0.0332	0.0339
29.00	0.9300	0.0344	0.0355
30.00	0.9271	0.0357	0.0372
31.00	0.9241	0.0370	0.0390
32.00	0.9210	0.0383	0.0407
33.00	0.9179	0.0396	0.0425
34.00	0.9147	0.0409	0.0444
35.00	0.9115	0.0423	0.0463
36.00	0.9082	0.0436	0.0482
37.00	0.9048	0.0450	0.0502
38.00	0.9014	0.0464	0.0522
39.00	0.8979	0.0478	0.0542
40.00	0.8944	0.0493	0.0563
41.00	0.8909	0.0507	0.0585
42.00	0.8873	0.0521	0.0606
43.00	0.8836	0.0535	0.0628
44.00	0.8800	0.0550	0.0650
45.00	0.8763	0.0564	0.0673
46.00	0.8726	0.0578	0.0696
47.00	0.8689	0.0592	0.0719
48.00	0.8651	0.0606	0.0742
49.00	0.8614	0.0620	0.0766
50.00	0.8576	0.0634	0.0790
51.00	0.8539	0.0648	0.0814
52.00	0.8501	0.0661	0.0838
53.00	0.8464	0.0674	0.0862
54.00	0.8427	0.0687	0.0887
55.00	0.8390	0.0700	0.0911
56.00	0.8353	0.0712	0.0935
57.00	0.8316	0.0724	0.0960
58.00	0.8280	0.0736	0.0984
59.00	0.8245	0.0747	0.1008
60.00	0.8210	0.0758	0.1033
61.00	0.8175	0.0768	0.1057
62.00	0.8141	0.0779	0.1081
63.00	0.8107	0.0788	0.1104
64.00	0.8074	0.0798	0.1128
65.00	0.8042	0.0807	0.1151
66.00	0.8011	0.0815	0.1174
67.00	0.7980	0.0823	0.1197
68.00	0.7950	0.0831	0.1219
69.00	0.7920	0.0838	0.1241
70.00	0.7892	0.0845	0.1263
71.00	0.7864	0.0852	0.1284
72.00	0.7837	0.0858	0.1305
73.00	0.7812	0.0863	0.1325
74.00	0.7786	0.0869	0.1345
75.00	0.7762	0.0873	0.1364
76.00	0.7739	0.0878	0.1383
77.00	0.7717	0.0882	0.1402
78.00	0.7695	0.0885	0.1419
79.00	0.7674	0.0889	0.1437
80.00	0.7655	0.0892	0.1454
