t	S	I	R
0.00	0.9900	0.0100	0.0000
1.00	0.9855	0.0134	0.0011
2.00	0.9795	0.0179	0.0027
3.00	0.9715	0.0238	0.0047
4.00	0.9610	0.0315	0.0074
5.00	0.9473	0.0417	0.0110
6.00	0.9296	0.0547	0.0157
7.00	0.9068	0.0713	0.0219
8.00	0.8782	0.0919	0.0299
9.00	0.8427	0.1171	0.0402
10.00	0.7998	0.1469	0.0532
11.00	0.7495	0.1811	0.0694
12.00	0.6923	0.2185	0.0892
13.00	0.6296	0.2575	0.1128
14.00	0.5637	0.2960	0.1403
15.00	0.4971	0.3313	0.1715
16.00	0.4326	0.3614	0.2061
17.00	0.3723	0.3844	0.2433
18.00	0.3179	0.3996	0.2825
19.00	0.2701	0.4070	0.3229
20.00	0.2292	0.4072	0.3636
21.00	0.1947	0.4012	0.4041
22.00	0.1659	0.3903	0.4438
23.00	0.1421	0.3757	0.4822
24.00	0.1225	0.3585	0.5190
25.00	0.1064	0.3396	0.5540
26.00	0.0931	0.3198	0.5871
27.00	0.0822	0.2997	0.6182
28.00	0.0731	0.2797	0.6472
29.00	0.0656	0.2601	0.6743
30.00	0.0593	0.2413	0.6995
31.00	0.0540	0.2233	0.7228
32.00	0.0495	0.2062	0.7443
33.00	0.0457	0.1901	0.7642
34.00	0.0424	0.1750	0.7825
35.00	0.0397	0.1609	0.7994
36.00	0.0373	0.1478	0.8149
37.00	0.0352	0.1357	0.8291
38.00	0.0334	0.1244	0.8422
39.00	0.0318	0.1140	0.8541
40.00	0.0305	0.1044	0.8651
41.00	0.0293	0.0956	0.8751
42.00	0.0282	0.0875	0.8843
43.00	0.0273	0.0800	0.8927
44.00	0.0265	0.0731	0.9004
45.00	0.0257	0.0668	0.9074
46.00	0.0251	0.0611	0.9139
47.00	0.0245	0.0558	0.9197
48.00	0.0240	0.0509	0.9251
49.00	0.0235	0.0465	0.9300
50.00	0.0231	0.0425	0.9344
51.00	0.0227	0.0388	0.9385
52.00	0.0224	0.0354	0.9422
53.00	0.0221	0.0323	0.9456
54.00	0.0218	0.0295	0.9487
55.00	0.0216	0.0269	0.9516
56.00	0.0213	0.0245	0.9541
57.00	0.0211	0.0224	0.9565
58.00	0.0210	0.0204	0.9586
59.00	0.0208	0.0186	0.9606
60.00	0.0206	0.0170	0.9624
61.00	0.0205	0.0155	0.9640
62.00	0.0204	0.0141	0.9655
63.00	0.0203	0.0129	0.9669
64.00	0.0202	0.0117	0.9681
65.00	0.0201	0.0107	0.9692
66.00	0.0200	0.0098	0.9702
67.00	0.0199	0.0089	0.9712
68.00	0.0199	0.0081	0.9720
69.00	0.0198	0.0074	0.9728
70.00	0.0197	0.0067	0.9735
71.00	0.0197	0.0061	0.9742
72.00	0.0196	0.0056	0.9748
73.00	0.0196	0.0051	0.9753
74.00	0.0196	0.0047	0.9758
75.00	0.0195	0.0042	0.9762
76.00	0.0195	0.0039	0.9766
77.00	0.0195	0.0035	0.9770
78.00	0.0194	0.0032	0.9773
79.00	0.0194	0.0029	0.9777
80.00	0.0194	0.0027	0.9779
81.00	0.0194	0.0024	0.9782
82.00	0.0194	0.0022	0.9784
83.00	0.0193	0.0020	0.9786
84.00	0.0193	0.0018	0.9788
85.00	0.0193	0.0017	0.9790
86.00	0.0193	0.0015	0.9792
87.00	0.0193	0.0014	0.9793
88.00	0.0193	0.0013	0.9794
