t	S	I	R
89.00	0.0193	0.0012	0.9796
90.00	0.0193	0.0011	0.9797
91.00	0.0193	0.0010	0.9798
92.00	0.0192	0.0009	0.9799
93.00	0.0192	0.0008	0.9800
94.00	0.0192	0.0007	0.9800
95.00	0.0192	0.0007	0.9801
96.00	0.0192	0.0006	0.9802
97.00	0.0192	0.0006	0.9802
98.00	0.0192	0.0005	0.9803
99.00	0.0192	0.0005	0.9803
100.00	0.0192	0.0004	0.9804
101.00	0.0192	0.0004	0.9804
102.00	0.0192	0.0003	0.9805
103.00	0.0192	0.0003	0.9805
104.00	0.0192	0.0003	0.9805
105.00	0.0192	0.0003	0.9805
106.00	0.0192	0.0002	0.9806
107.00	0.0192	0.0002	0.9806
108.00	0.0192	0.0002	0.9806
109.00	0.0192	0.0002	0.9806
110.00	0.0192	0.0002	0.9806
111.00	0.0192	0.0002	0.9807
112.00	0.0192	0.0001	0.9807
113.00	0.0192	0.0001	0.9807
114.00	0.0192	0.0001	0.9807
115.00	0.0192	0.0001	0.9807
116.00	0.0192	0.0001	0.9807
117.00	0.0192	0.0001	0.9807
118.00	0.0192	0.0001	0.9807
119.00	0.0192	0.0001	0.9807
120.00	0.0192	0.0001	0.9808
121.00	0.0192	0.0001	0.9808
122.00	0.0192	0.0001	0.9808
123.00	0.0192	0.0000	0.9808
124.00	0.0192	0.0000	0.9808
125.00	0.0192	0.0000	0.9808
126.00	0.0192	0.0000	0.9808
127.00	0.0192	0.0000	0.9808
128.00	0.0192	0.0000	0.9808
129.00	0.0192	0.0000	0.9808
130.00	0.0192	0.0000	0.9808
131.00	0.0192	0.0000	0.9808
132.00	0.0192	0.0000	0.9808
133.00	0.0192	0.0000	0.9808
134.00	0.0192	0.0000	0.9808
135.00	0.0192	0.0000	0.9808
136.00	0.0192	0.0000	0.9808
137.00	0.0192	0.0000	0.9808
138.00	0.0192	0.0000	0.9808
139.00	0.0192	0.0000	0.9808
140.00	0.0192	0.0000	0.9808
141.00	0.0192	0.0000	0.9808
142.00	0.0192	0.0000	0.9808
143.00	0.0192	0.0000	0.9808
144.00	0.0192	0.0000	0.9808
145.00	0.0192	0.0000	0.9808
146.00	0.0192	0.0000	0.9808
147.00	0.0192	0.0000	0.9808
148.00	0.0192	0.0000	0.9808
149.00	0.0192	0.0000	0.9808
150.00	0.0192	0.0000	0.9808
151.00	0.0192	0.0000	0.9808
152.00	0.0192	0.0000	0.9808
153.00	0.0192	0.0000	0.9808
154.00	0.0192	0.0000	0.9808
155.00	0.0192	0.0000	0.9808
156.00	0.0192	0.0000	0.9808
157.00	0.0192	0.0000	0.9808
158.00	0.0192	0.0000	0.9808
159.00	0.0192	0.0000	0.9808
160.00	0.0192	0.0000	0.9808
161.00	0.0192	0.0000	0.9808
162.00	0.0192	0.0000	0.9808
163.00	0.0192	0.0000	0.9808
164.00	0.0192	0.0000	0.9808
165.00	0.0192	0.0000	0.9808
166.00	0.0192	0.0000	0.9808
167.00	0.0192	0.0000	0.9808
168.00	0.0192	0.0000	0.9808
169.00	0.0192	0.0000	0.9808
170.00	0.0192	0.0000	0.9808
171.00	0.0192	0.0000	0.9808
172.00	0.0192	0.0000	0.9808
173.00	0.0192	0.0000	0.9808
174.00	0.0192	0.0000	0.9808
175.00	0.0192	0.0000	0.9808
176.00	0.0192	0.0000	0.9808
177.00	0.0192	0.0000	0.9808
178.00	0.0192	0.0000	0.9808
179.00	0.0192	0.0000	0.9808
180.00	0.0192	0.0000	0.9808
181.00	0.0192	0.0000	0.9808
182.00	0.0192	0.0000	0.9808
183.00	0.0192	0.0000	0.9808
184.00	0.0192	0.0000	0.9808
185.00	0.0192	0.0000	0.9808
186.00	0.0192	0.0000	0.9808
187.00	0.0192	0.0000	0.9808
188.00	0.0192	0.0000	0.9808
189.00	0.0192	0.0000	0.9808
190.00	0.0192	0.0000	0.9808
191.00	0.0192	0.0000	0.9808
192.00	0.0192	0.0000	0.9808
193.00	0.0192	0.0000	0.9808
194.00	0.0192	0.0000	0.9808
195.00	0.0192	0.0000	0.9808
196.00	0.0192	0.0000	0.9808
197.00	0.0192	0.0000	0.9808
198.00	0.0192	0.0000	0.9808
199.00	0.0192	0.0000	0.9808
200.00	0.0192	0.0000	0.9808
201.00	0.0192	0.0000	0.9808
202.00	0.0192	0.0000	0.9808
203.00	0.0192	0.0000	0.9808
204.00	0.0192	0.0000	0.9808
205.00	0.0192	0.0000	0.9808
206.00	0.0192	0.0000	0.9808
207.00	0.0192	0.0000	0.9808
208.00	0.0192	0.0000	0.9808
209.00	0.0192	0.0000	0.9808
210.00	0.0192	0.0000	0.9808
211.00	0.0192	0.0000	0.9808
212.00	0.0192	0.0000	0.9808
213.00	0.0192	0.0000	0.9808
214.00	0.0192	0.0000	0.9808
215.00	0.0192	0.0000	0.9808
216.00	0.0192	0.0000	0.9808
217.00	0.0192	0.0000	0.9808
218.00	0.0192	0.0000	0.9808
219.00	0.0192	0.0000	0.9808
220.00	0.0192	0.0000	0.9808
221.00	0.0192	0.0000	0.9808
222.00	0.0192	0.0000	0.9808
223.00	0.0192	0.0000	0.9808
224.00	0.0192	0.0000	0.9808
225.00	0.0192	0.0000	0.9808
226.00	0.0192	0.0000	0.9808
227.00	0.0192	0.0000	0.9808
228.00	0.0192	0.0000	0.9808
229.00	0.0192	0.0000	0.9808
230.00	0.0192	0.0000	0.9808
231.00	0.0192	0.0000	0.9808
232.00	0.0192	0.0000	0.9808
233.00	0.0192	0.0000	0.9808
234.00	0.0192	0.0000	0.9808
235.00	0.0192	0.0000	0.9808
236.00	0.0192	0.0000	0.9808
237.00	0.0192	0.0000	0.9808
238.00	0.0192	0.0000	0.9808
239.00	0.0192	0.0000	0.9808
240.00	0.0192	0.0000	0.9808
241.00	0.0192	0.0000	0.9808
242.00	0.0192	0.0000	0.9808
243.00	0.0192	0.0000	0.9808
244.00	0.0192	0.0000	0.9808
245.00	0.0192	0.0000	0.9808
246.00	0.0192	0.0000	0.9808
247.00	0.0192	0.0000	0.9808
248.00	0.0192	0.0000	0.9808
249.00	0.0192	0.0000	0.9808
250.00	0.0192	0.0000	0.9808
251.00	0.0192	0.0000	0.9808
252.00	0.0192	0.0000	0.9808
253.00	0.0192	0.0000	0.9808
254.00	0.0192	0.0000	0.9808
255.00	0.0192	0.0000	0.9808
256.00	0.0192	0.0000	0.9808
257.00	0.0192	0.0000	0.9808
258.00	0.0192	0.0000	0.9808
259.00	0.0192	0.0000	0.9808
260.00	0.0192	0.0000	0.9808
261.00	0.0192	0.0000	0.9808
262.00	0.0192	0.0000	0.9808
263.00	0.0192	0.0000	0.9808
264.00	0.0192	0.0000	0.9808
265.00	0.0192	0.0000	0.9808
266.00	0.0192	0.0000	0.9808
267.00	0.0192	0.0000	0.9808
268.00	0.0192	0.0000	0.9808
269.00	0.0192	0.0000	0.9808
270.00	0.0192	0.0000	0.9808
271.00	0.0192	0.0000	0.9808
272.00	0.0192	0.0000	0.9808
273.00	0.0192	0.0000	0.9808
274.00	0.0192	0.0000	0.9808
275.00	0.0192	0.0000	0.9808
276.00	0.0192	0.0000	0.9808
277.00	0.0192	0.0000	0.9808
278.00	0.0192	0.0000	0.9808
279.00	0.0192	0.0000	0.9808
280.00	0.0192	0.0000	0.9808
281.00	0.0192	0.0000	0.9808
282.00	0.0192	0.0000	0.9808
283.00	0.0192	0.0000	0.9808
284.00	0.0192	0.0000	0.9808
285.00	0.0192	0.0000	0.9808
286.00	0.0192	0.0000	0.9808
287.00	0.0192	0.0000	0.9808
288.00	0.0192	0.0000	0.9808
289.00	0.0192	0.0000	0.9808
290.00	0.0192	0.0000	0.9808
291.00	0.0192	0.0000	0.9808
292.00	0.0192	0.0000	0.9808
293.00	0.0192	0.0000	0.9808
294.00	0.0192	0.0000	0.9808
295.00	0.0192	0.0000	0.9808
296.00	0.0192	0.0000	0.9808
297.00	0.0192	0.0000	0.9808
298.00	0.0192	0.0000	0.9808
299.00	0.0192	0.0000	0.9808
300.00	0.0192	0.0000	0.9808
