117.00	0.6134	0.1010	0.0463	0.2393
118.00	0.6078	0.1016	0.0467	0.2440
119.00	0.6021	0.1022	0.0471	0.2486
120.00	0.5964	0.1027	0.0475	0.2534
121.00	0.5908	0.1032	0.0479	0.2581
122.00	0.5851	0.1037	0.0482	0.2629
123.00	0.5795	0.1042	0.0486	0.2678
124.00	0.5739	0.1046	0.0489	0.2727
125.00	0.5682	0.1049	0.0493	0.2776
126.00	0.5627	0.1053	0.0496	0.2825
127.00	0.5571	0.1056	0.0499	0.2875
128.00	0.5515	0.1058	0.0502	0.2925
129.00	0.5460	0.1060	0.0504	0.2975
130.00	0.5405	0.1062	0.0507	0.3026
131.00	0.5351	0.1064	0.0509	0.3076
132.00	0.5296	0.1065	0.0511	0.3127
133.00	0.5242	0.1066	0.0513	0.3179
134.00	0.5189	0.1066	0.0515	0.3230
135.00	0.5135	0.1066	0.0517	0.3282
136.00	0.5083	0.1066	0.0518	0.3333
137.00	0.5030	0.1065	0.0520	0.3385
138.00	0.4978	0.1064	0.0521	0.3437
139.00	0.4926	0.1062	0.0522	0.3490
140.00	0.4875	0.1060	0.0523	0.3542
141.00	0.4824	0.1058	0.0523	0.3594
142.00	0.4774	0.1055	0.0524	0.3646
143.00	0.4724	0.1053	0.0524	0.3699
144.00	0.4675	0.1049	0.0524	0.3751
145.00	0.4626	0.1046	0.0524	0.3804
146.00	0.4578	0.1042	0.0524	0.3856
147.00	0.4530	0.1037	0.0524	0.3909
148.00	0.4483	0.1033	0.0523	0.3961
149.00	0.4437	0.1028	0.0522	0.4013
150.00	0.4391	0.1023	0.0521	0.4065
151.00	0.4345	0.1017	0.0520	0.4117
152.00	0.4300	0.1012	0.0519	0.4169
153.00	0.4256	0.1005	0.0518	0.4221
154.00	0.4212	0.0999	0.0516	0.4273
155.00	0.4169	0.0992	0.0514	0.4324
156.00	0.4126	0.0986	0.0512	0.4376
157.00	0.4084	0.0979	0.0510	0.4427
158.00	0.4043	0.0971	0.0508	0.4478
159.00	0.4002	0.0964	0.0506	0.4529
160.00	0.3962	0.0956	0.0503	0.4579
161.00	0.3922	0.0948	0.0501	0.4629
162.00	0.3883	0.0940	0.0498	0.4679
163.00	0.3845	0.0931	0.0495	0.4729
164.00	0.3807	0.0923	0.0492	0.4778
165.00	0.3770	0.0914	0.0489	0.4827
166.00	0.3733	0.0905	0.0486	0.4876
167.00	0.3697	0.0896	0.0482	0.4924
168.00	0.3662	0.0887	0.0479	0.4972
169.00	0.3627	0.0877	0.0475	0.5020
170.00	0.3593	0.0868	0.0472	0.5068
171.00	0.3559	0.0858	0.0468	0.5114
172.00	0.3526	0.0849	0.0464	0.5161
173.00	0.3494	0.0839	0.0460	0.5207
174.00	0.3462	0.0829	0.0456	0.5253
175.00	0.3431	0.0819	0.0452	0.5298
176.00	0.3400	0.0809	0.0447	0.5343
177.00	0.3370	0.0799	0.0443	0.5388
178.00	0.3340	0.0789	0.0439	0.5432
179.00	0.3311	0.0779	0.0434	0.5476
180.00	0.3283	0.0769	0.0430	0.5519
181.00	0.3255	0.0758	0.0425	0.5562
182.00	0.3228	0.0748	0.0421	0.5604
183.00	0.3201	0.0738	0.0416	0.5646
184.00	0.3174	0.0728	0.0411	0.5687
185.00	0.3148	0.0717	0.0406	0.5728
186.00	0.3123	0.0707	0.0402	0.5768
187.00	0.3098	0.0697	0.0397	0.5808
188.00	0.3074	0.0687	0.0392	0.5848
189.00	0.3050	0.0676	0.0387	0.5887
190.00	0.3027	0.0666	0.0382	0.5925
191.00	0.3004	0.0656	0.0377	0.5963
192.00	0.2981	0.0646	0.0372	0.6000
193.00	0.2959	0.0636	0.0367	0.6037
194.00	0.2938	0.0626	0.0362	0.6074
195.00	0.2917	0.0616	0.0357	0.6110
196.00	0.2896	0.0606	0.0352	0.6145
197.00	0.2876	0.0596	0.0348	0.6180
198.00	0.2856	0.0586	0.0343	0.6215
199.00	0.2837	0.0577	0.0338	0.6249
200.00	0.2818	0.0567	0.0333	0.6283
201.00	0.2799	0.0557	0.0328	0.6316
202.00	0.2781	0.0548	0.0323	0.6348
203.00	0.2763	0.0538	0.0318	0.6380
204.00	0.2746	0.0529	0.0313	0.6412
205.00	0.2729	0.0520	0.0308	0.6443
206.00	0.2712	0.0511	0.0303	0.6473
207.00	0.2696	0.0502	0.0299	0.6503
208.00	0.2680	0.0493	0.0294	0.6533
209.00	0.2665	0.0484	0.0289	0.6562
210.00	0.2649	0.0475	0.0284	0.6591
211.00	0.2634	0.0467	0.0280	0.6619
212.00	0.2620	0.0458	0.0275	0.6647
213.00	0.2606	0.0450	0.0271	0.6674
214.00	0.2592	0.0441	0.0266	0.6701
215.00	0.2578	0.0433	0.0262	0.6727
216.00	0.2565	0.0425	0.0257	0.6753
217.00	0.2552	0.0417	0.0253	0.6779
218.00	0.2539	0.0409	0.0248	0.6804
219.00	0.2526	0.0401	0.0244	0.6828
220.00	0.2514	0.0394	0.0240	0.6853
221.00	0.2502	0.0386	0.0235	0.6876
222.00	0.2491	0.0379	0.0231	0.6900
223.00	0.2479	0.0371	0.0227	0.6923
224.00	0.2468	0.0364	0.0223	0.6945
225.00	0.2457	0.0357	0.0219	0.6967
226.00	0.2447	0.0350	0.0215	0.6989
227.00	0.2436	0.0343	0.0211	0.7010
228.00	0.2426	0.0336	0.0207	0.7031
229.00	0.2416	0.0329	0.0203	0.7052
230.00	0.2406	0.0323	0.0199	0.7072
231.00	0.2397	0.0316	0.0195	0.7091
232.00	0.2388	0.0310	0.0192	0.7111
233.00	0.2379	0.0304	0.0188	0.7130
234.00	0.2370	0.0297	0.0184	0.7148
235.00	0.2361	0.0291	0.0181	0.7167
236.00	0.2353	0.0285	0.0177	0.7185
237.00	0.2344	0.0279	0.0174	0.7202
238.00	0.2336	0.0274	0.0171	0.7219
239.00	0.2329	0.0268	0.0167	0.7236
240.00	0.2321	0.0262	0.0164	0.7253
241.00	0.2313	0.0257	0.0161	0.7269
242.00	0.2306	0.0252	0.0157	0.7285
243.00	0.2299	0.0246	0.0154	0.7301
244.00	0.2292	0.0241	0.0151	0.7316
245.00	0.2285	0.0236	0.0148	0.7331
246.00	0.2278	0.0231	0.0145	0.7345
247.00	0.2272	0.0226	0.0142	0.7360
248.00	0.2265	0.0221	0.0139	0.7374
249.00	0.2259	0.0217	0.0137	0.7388
250.00	0.2253	0.0212	0.0134	0.7401
251.00	0.2247	0.0208	0.0131	0.7414
252.00	0.2241	0.0203	0.0128	0.7427
253.00	0.2235	0.0199	0.0126	0.7440
254.00	0.2230	0.0194	0.0123	0.7453
255.00	0.2224	0.0190	0.0120	0.7465
256.00	0.2219	0.0186	0.0118	0.7477
257.00	0.2214	0.0182	0.0116	0.7488
258.00	0.2209	0.0178	0.0113	0.7500
259.00	0.2204	0.0174	0.0111	0.7511
260.00	0.2199	0.0171	0.0108	0.7522
261.00	0.2194	0.0167	0.0106	0.7533
262.00	0.2190	0.0163	0.0104	0.7543
263.00	0.2185	0.0160	0.0102	0.7553
264.00	0.2181	0.0156	0.0099	0.7563
265.00	0.2177	0.0153	0.0097	0.7573
266.00	0.2173	0.0149	0.0095	0.7583
267.00	0.2168	0.0146	0.0093	0.7592
268.00	0.2164	0.0143	0.0091	0.7602
269.00	0.2161	0.0140	0.0089	0.7611
270.00	0.2157	0.0137	0.0087	0.7619
271.00	0.2153	0.0133	0.0085	0.7628
272.00	0.2149	0.0131	0.0084	0.7637
273.00	0.2146	0.0128	0.0082	0.7645
274.00	0.2142	0.0125	0.0080	0.7653
275.00	0.2139	0.0122	0.0078	0.7661
276.00	0.2136	0.0119	0.0077	0.7669
277.00	0.2132	0.0117	0.0075	0.7676
278.00	0.2129	0.0114	0.0073	0.7684
279.00	0.2126	0.0111	0.0072	0.7691
280.00	0.2123	0.0109	0.0070	0.7698
281.00	0.2120	0.0106	0.0069	0.7705
